,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount
61133,Asia,中国,China,湖南省,Hunan,1011,0.0,661,4
61147,Asia,中国,China,甘肃省,Gansu,91,0.0,76,2
61159,Asia,中国,China,新疆维吾尔自治区,Xinjiang,76,0.0,24,1
61171,Asia,中国,China,河南省,Henan,1267,0.0,736,19
61193,Asia,中国,China,湖北省,Hubei,62662,0.0,11881,2144
61230,Asia,中国,China,四川省,Sichuan,525,0.0,231,3
61251,Asia,中国,China,河北省,Hebei,308,0.0,184,5
61262,Asia,中国,China,贵州省,Guizhou,146,0.0,77,2
61271,Asia,中国,China,天津市,Tianjin,132,0.0,62,3
61301,Asia,中国,China,黑龙江省,Heilongjiang,479,0.0,175,12
61314,Asia,中国,China,江苏省,Jiangsu,631,0.0,373,0
61327,Asia,中国,China,广西壮族自治区,Guangxi,246,0.0,97,2
61340,Asia,中国,China,福建省,Fujian,293,0.0,149,1
61350,Asia,中国,China,陕西省,Shaanxi,245,0.0,134,1
61577,Asia,中国,China,浙江省,Zhejiang,1203,0.0,679,1
61589,Asia,中国,China,山东省,Shandong,749,0.0,281,4
61622,Asia,中国,China,广东省,Guangdong,1333,0.0,690,5
61657,Asia,中国,China,安徽省,Anhui,988,0.0,539,6
61742,Asia,中国,China,海南省,Hainan,168,0.0,95,4
61757,Asia,中国,China,吉林省,Jilin,91,0.0,45,1
61816,Asia,中国,China,内蒙古自治区,Neimenggu,75,0.0,17,0
61862,Asia,中国,China,台湾,Taiwan,26,0.0,2,1
61878,Asia,中国,China,宁夏回族自治区,Ningxia,71,0.0,48,0
61884,Asia,中国,China,云南省,Yunnan,174,0.0,96,2
61963,Asia,中国,China,上海市,Shanghai,334,0.0,211,2
62109,Asia,中国,China,青海省,Qinghai,18,0.0,18,0
62145,Asia,中国,China,香港,Hong Kong,68,0.0,5,2
62191,Asia,中国,China,辽宁省,Liaoning,121,0.0,61,1
62238,Asia,中国,China,江西省,Jiangxi,934,0.0,489,1
62250,Asia,中国,China,北京市,Beijing,396,0.0,169,4
62449,Asia,中国,China,重庆市,Chongqing,567,0.0,299,6
62502,Asia,中国,China,山西省,Shanxi,132,0.0,76,0
