,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount
49057,Asia,中国,China,香港,Hong Kong,96,0.0,36,2
49058,Asia,中国,China,甘肃省,Gansu,91,0.0,84,2
49070,Asia,中国,China,广东省,Guangdong,1349,0.0,1016,7
49091,Asia,中国,China,河南省,Henan,1272,0.0,1198,22
49110,Asia,中国,China,河北省,Hebei,318,0.0,294,6
49149,Asia,中国,China,天津市,Tianjin,136,0.0,111,3
49165,Asia,中国,China,辽宁省,Liaoning,122,0.0,103,1
49180,Asia,中国,China,四川省,Sichuan,538,0.0,365,3
49204,Asia,中国,China,山东省,Shandong,758,0.0,443,6
49219,Asia,中国,China,黑龙江省,Heilongjiang,480,0.0,342,13
49243,Asia,中国,China,浙江省,Zhejiang,1205,0.0,1046,1
49287,Asia,中国,China,海南省,Hainan,168,0.0,149,5
49303,Asia,中国,China,湖北省,Hubei,66907,0.0,31536,2761
49320,Asia,中国,China,湖南省,Hunan,1018,0.0,866,4
49334,Asia,中国,China,安徽省,Anhui,990,0.0,873,6
49350,Asia,中国,China,江苏省,Jiangsu,631,0.0,536,0
49363,Asia,中国,China,内蒙古自治区,Neimenggu,75,0.0,52,0
49389,Asia,中国,China,新疆维吾尔自治区,Xinjiang,76,0.0,64,3
49423,Asia,中国,China,广西壮族自治区,Guangxi,252,0.0,181,2
49436,Asia,中国,China,福建省,Fujian,296,0.0,247,1
49445,Asia,中国,China,陕西省,Shaanxi,245,0.0,208,1
49468,Asia,中国,China,吉林省,Jilin,93,0.0,78,1
49561,Asia,中国,China,重庆市,Chongqing,576,0.0,442,6
49615,Asia,中国,China,台湾,Taiwan,40,0.0,9,1
49695,Asia,中国,China,上海市,Shanghai,337,0.0,290,3
49713,Asia,中国,China,云南省,Yunnan,174,0.0,163,2
49834,Asia,中国,China,山西省,Shanxi,133,0.0,115,0
49893,Asia,中国,China,北京市,Beijing,413,0.0,276,8
49954,Asia,中国,China,江西省,Jiangxi,935,0.0,831,1
