,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount
86998,Asia,中国,China,四川省,Sichuan,364,0.0,60,1
87019,Asia,中国,China,甘肃省,Gansu,79,0.0,12,1
87053,Asia,中国,China,河南省,Henan,981,0.0,116,4
87072,Asia,中国,China,湖北省,Hubei,24953,0.0,1218,699
87161,Asia,中国,China,湖南省,Hunan,803,0.0,156,1
87242,Asia,中国,China,辽宁省,Liaoning,105,0.0,8,0
87255,Asia,中国,China,广东省,Guangdong,1095,0.0,112,1
87316,Asia,中国,China,山东省,Shandong,416,0.0,44,0
87345,Asia,中国,China,河北省,Hebei,195,0.0,30,1
87479,Asia,中国,China,重庆市,Chongqing,428,0.0,39,2
87557,Asia,中国,China,浙江省,Zhejiang,1048,0.0,175,0
87570,Asia,中国,China,海南省,Hainan,124,0.0,14,2
87602,Asia,中国,China,江苏省,Jiangsu,439,0.0,51,0
87615,Asia,中国,China,陕西省,Shaanxi,195,0.0,20,0
87763,Asia,中国,China,宁夏回族自治区,Ningxia,45,0.0,15,0
87870,Asia,中国,China,云南省,Yunnan,138,0.0,17,0
87920,Asia,中国,China,黑龙江省,Heilongjiang,295,0.0,13,5
88010,Asia,中国,China,天津市,Tianjin,88,0.0,4,1
88072,Asia,中国,China,福建省,Fujian,239,0.0,24,0
88256,Asia,中国,China,安徽省,Anhui,733,0.0,59,0
88308,Asia,中国,China,山西省,Shanxi,104,0.0,20,0
88416,Asia,中国,China,贵州省,Guizhou,89,0.0,7,1
88446,Asia,中国,China,上海市,Shanghai,286,0.0,41,1
88696,Asia,中国,China,台湾,Taiwan,17,0.0,1,0
88827,Asia,中国,China,广西壮族自治区,Guangxi,183,0.0,17,0
89071,Asia,中国,China,内蒙古自治区,Neimenggu,52,0.0,5,0
89097,Asia,中国,China,新疆维吾尔自治区,Xinjiang,42,0.0,0,0
89129,Asia,中国,China,北京市,Beijing,315,0.0,34,2
89356,Asia,中国,China,江西省,Jiangxi,698,0.0,55,0
89497,Asia,中国,China,吉林省,Jilin,69,0.0,4,1
89524,Asia,中国,Hongkong,香港,Hongkong,26,0.0,0,1
