,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount
50334,Asia,中国,China,广东省,Guangdong,1349,0.0,983,7
50355,Asia,中国,China,山东省,Shandong,756,0.0,421,6
50370,Asia,中国,China,湖南省,Hunan,1018,0.0,846,4
50384,Asia,中国,China,福建省,Fujian,296,0.0,243,1
50393,Asia,中国,China,河北省,Hebei,318,0.0,282,6
50404,Asia,中国,China,辽宁省,Liaoning,121,0.0,96,1
50417,Asia,中国,China,河南省,Henan,1272,0.0,1170,21
50462,Asia,中国,China,湖北省,Hubei,66337,0.0,28993,2727
50500,Asia,中国,China,四川省,Sichuan,538,0.0,351,3
50521,Asia,中国,China,黑龙江省,Heilongjiang,480,0.0,301,13
50534,Asia,中国,China,广西壮族自治区,Guangxi,252,0.0,176,2
50547,Asia,中国,China,天津市,Tianjin,136,0.0,109,3
50563,Asia,中国,China,新疆维吾尔自治区,Xinjiang,76,0.0,62,3
50632,Asia,中国,China,海南省,Hainan,168,0.0,147,5
50711,Asia,中国,China,浙江省,Zhejiang,1205,0.0,1016,1
50723,Asia,中国,China,吉林省,Jilin,93,0.0,75,1
50733,Asia,中国,China,陕西省,Shaanxi,245,0.0,207,1
50745,Asia,中国,China,内蒙古自治区,Neimenggu,75,0.0,49,0
50855,Asia,中国,China,江苏省,Jiangsu,631,0.0,523,0
50928,Asia,中国,China,台湾,Taiwan,39,0.0,9,1
50929,Asia,中国,China,上海市,Shanghai,337,0.0,287,3
51003,Asia,中国,China,宁夏回族自治区,Ningxia,73,0.0,69,0
51139,Asia,中国,China,重庆市,Chongqing,576,0.0,422,6
51178,Asia,中国,China,北京市,Beijing,411,0.0,271,8
51195,Asia,中国,China,江西省,Jiangxi,935,0.0,811,1
51207,Asia,中国,China,安徽省,Anhui,990,0.0,868,6
51365,Asia,中国,China,山西省,Shanxi,133,0.0,113,0
51376,Asia,中国,China,云南省,Yunnan,174,0.0,157,2
