,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount
35399,Asia,中国,China,香港,Hong Kong,140,0.0,78,4
35527,Asia,中国,China,湖北省,Hubei,67790,0.0,52960,3075
35578,Asia,中国,China,宁夏回族自治区,Ningxia,75,0.0,73,0
35584,Asia,中国,China,河南省,Henan,1273,0.0,1250,22
35621,Asia,中国,China,湖南省,Hunan,1018,0.0,1014,4
35635,Asia,中国,China,台湾,Taiwan,53,0.0,20,1
35636,Asia,中国,China,上海市,Shanghai,352,0.0,324,3
35663,Asia,中国,China,四川省,Sichuan,539,0.0,511,3
35684,Asia,中国,China,山东省,Shandong,760,0.0,741,7
35850,Asia,中国,China,甘肃省,Gansu,129,0.0,89,2
35968,Asia,中国,China,北京市,Beijing,437,0.0,349,8
35986,Asia,中国,China,浙江省,Zhejiang,1227,0.0,1211,1
36018,Asia,中国,China,广东省,Guangdong,1356,0.0,1299,8
36069,Asia,中国,China,贵州省,Guizhou,146,0.0,143,2
36117,Asia,中国,China,辽宁省,Liaoning,125,0.0,113,1
36130,Asia,中国,China,黑龙江省,Heilongjiang,482,0.0,447,13
36163,Asia,中国,China,重庆市,Chongqing,576,0.0,566,6
