,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount
55276,Asia,中国,China,湖北省,Hubei,64786,0.0,18971,2563
55293,Asia,中国,China,黑龙江省,Heilongjiang,480,0.0,243,12
55306,Asia,中国,China,陕西省,Shaanxi,245,0.0,186,1
55318,Asia,中国,China,天津市,Tianjin,135,0.0,91,3
55334,Asia,中国,China,吉林省,Jilin,93,0.0,63,1
55344,Asia,中国,China,澳门,Macau,10,0.0,7,0
55345,Asia,中国,China,江西省,Jiangxi,934,0.0,683,1
55357,Asia,中国,China,湖南省,Hunan,1016,0.0,768,4
55371,Asia,中国,China,四川省,Sichuan,529,0.0,289,3
55413,Asia,中国,China,山东省,Shandong,756,0.0,355,6
55428,Asia,中国,China,海南省,Hainan,168,0.0,124,5
55492,Asia,中国,China,河北省,Hebei,311,0.0,248,6
55503,Asia,中国,China,河南省,Henan,1271,0.0,1002,19
55548,Asia,中国,China,广西壮族自治区,Guangxi,252,0.0,134,2
55561,Asia,中国,China,福建省,Fujian,294,0.0,199,1
55586,Asia,中国,China,香港,Hong Kong,84,0.0,19,2
55642,Asia,中国,China,浙江省,Zhejiang,1205,0.0,808,1
55737,Asia,中国,China,广东省,Guangdong,1347,0.0,822,7
55846,Asia,中国,China,贵州省,Guizhou,146,0.0,104,2
55960,Asia,中国,China,台湾,Taiwan,31,0.0,5,1
55978,Asia,中国,China,安徽省,Anhui,989,0.0,712,6
55994,Asia,中国,China,上海市,Shanghai,336,0.0,268,3
56059,Asia,中国,China,云南省,Yunnan,174,0.0,129,2
56088,Asia,中国,China,山西省,Shanxi,133,0.0,96,0
56301,Asia,中国,China,宁夏回族自治区,Ningxia,71,0.0,61,0
56439,Asia,中国,China,北京市,Beijing,400,0.0,215,4
56496,Asia,中国,China,江苏省,Jiangsu,631,0.0,458,0
56578,Asia,中国,China,辽宁省,Liaoning,121,0.0,83,1
56593,Asia,中国,China,重庆市,Chongqing,576,0.0,349,6
