,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount
9276,Asia,中国,China,澳门,Macau,45,9.0,26,0
9277,Asia,中国,China,中国,China,84294,0.0,78095,4642
9320,Asia,中国,China,台湾,Taiwan,426,343.0,236,6
9381,Asia,中国,China,香港,Hong Kong,1033,47.0,678,4
9599,Asia,中国,China,黑龙江省,Heilongjiang,921,384.0,479,13
9667,Asia,中国,China,上海市,Shanghai,639,300.0,534,7
9956,Asia,中国,China,陕西省,Shaanxi,279,1.0,253,3
9977,Asia,中国,China,福建省,Fujian,355,3.0,342,1
10135,Asia,中国,China,吉林省,Jilin,106,3.0,98,1
10157,Asia,中国,China,湖北省,Hubei,68128,0.0,63519,4512
10174,Asia,中国,China,广东省,Guangdong,1582,11.0,1511,8
10195,Asia,中国,China,浙江省,Zhejiang,1268,3.0,1252,1
10226,Asia,中国,China,北京市,Beijing,593,164.0,518,8
10244,Asia,中国,China,江苏省,Jiangsu,653,3.0,645,0
10280,Asia,中国,China,四川省,Sichuan,561,13.0,556,3
10302,Asia,中国,China,山东省,Shandong,787,14.0,766,7
