,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount
17625,Asia,中国,China,天津市,Tianjin,186,48.0,172,3
17649,Asia,中国,China,中国,China,83799,0.0,78556,3352
17689,Asia,中国,China,甘肃省,Gansu,139,0.0,137,2
17706,Asia,中国,China,台湾,Taiwan,395,340.0,155,6
17920,Asia,中国,China,香港,Hong Kong,1017,39.0,485,4
17971,Asia,中国,China,辽宁省,Liaoning,145,0.0,140,2
18012,Asia,中国,China,上海市,Shanghai,628,19.0,489,7
18235,Asia,中国,China,黑龙江省,Heilongjiang,861,38.0,471,13
18249,Asia,中国,China,福建省,Fujian,353,3.0,333,1
18403,Asia,中国,China,河北省,Hebei,328,0.0,315,6
18415,Asia,中国,China,湖北省,Hubei,67803,0.0,64435,3222
18432,Asia,中国,China,广东省,Guangdong,1571,11.0,1471,8
18488,Asia,中国,China,北京市,Beijing,593,164.0,503,8
18520,Asia,中国,China,四川省,Sichuan,560,13.0,552,3
18543,Asia,中国,China,内蒙古自治区,Neimenggu,193,34.0,94,1
18556,Asia,中国,China,山西省,Shanxi,194,18.0,135,0
