,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount
105911,Asia,中国,China,浙江省,Zhejiang,538,0.0,14,0
105922,Asia,中国,China,湖北省,Hubei,5806,0.0,141,204
105939,Asia,中国,China,广东省,Guangdong,436,0.0,11,0
106010,Asia,中国,China,台湾,Taiwan,10,0.0,0,0
106012,Asia,中国,China,江苏省,Jiangsu,168,0.0,5,0
106025,Asia,中国,China,内蒙古自治区,Neimenggu,20,0.0,1,0
106035,Asia,中国,China,贵州省,Guizhou,29,0.0,2,0
106043,Asia,中国,China,云南省,Yunnan,83,0.0,1,0
106057,Asia,中国,China,新疆维吾尔自治区,Xinjiang,17,0.0,0,0
106063,Asia,中国,China,上海市,Shanghai,135,0.0,9,1
106106,Asia,中国,China,海南省,Hainan,52,0.0,1,1
106183,Asia,中国,China,北京市,Beijing,139,0.0,5,1
106231,Asia,中国,China,重庆市,Chongqing,211,0.0,1,0
106299,Asia,中国,China,山东省,Shandong,184,0.0,2,0
106571,Asia,中国,China,河南省,Henan,352,0.0,3,2
106685,Asia,中国,China,吉林省,Jilin,14,0.0,1,0
106735,Asia,中国,China,辽宁省,Liaoning,48,0.0,1,0
106794,Asia,中国,China,福建省,Fujian,120,0.0,0,0
106821,Asia,中国,China,天津市,Tianjin,32,0.0,0,0
106961,Asia,中国,China,陕西省,Shaanxi,87,0.0,0,0
107041,Asia,中国,China,宁夏回族自治区,Ningxia,21,0.0,0,0
107046,Asia,中国,China,青海省,Qinghai,8,0.0,0,0
107075,Asia,中国,China,湖南省,Hunan,332,0.0,2,0
107150,Asia,中国,China,黑龙江省,Heilongjiang,59,0.0,0,2
107181,Asia,中国,China,江西省,Jiangxi,240,0.0,7,0
107228,Asia,中国,China,四川省,Sichuan,177,0.0,1,1
107249,Asia,中国,China,安徽省,Anhui,237,0.0,3,0
107266,Asia,中国,China,广西壮族自治区,Guangxi,87,0.0,2,0
107277,Asia,中国,China,河北省,Hebei,82,0.0,0,1
107298,Asia,中国,Hongkong,香港,Hongkong,12,0.0,0,0
107311,Asia,中国,China,甘肃省,Gansu,29,0.0,0,0
107329,Asia,中国,China,山西省,Shanxi,39,0.0,1,0
