,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount
3433,Asia,中国,China,澳门,Macau,45,9.0,31,0
3434,Asia,中国,China,中国,China,84338,0.0,78469,4642
3660,Asia,中国,China,台湾,Taiwan,429,343.0,281,6
3702,Asia,中国,China,上海市,Shanghai,642,300.0,568,7
4067,Asia,中国,China,浙江省,Zhejiang,1268,3.0,1257,1
4080,Asia,中国,China,天津市,Tianjin,190,48.0,182,3
4098,Asia,中国,China,山西省,Shanxi,197,18.0,154,0
4110,Asia,中国,China,湖北省,Hubei,68128,0.0,63604,4512
4127,Asia,中国,China,广东省,Guangdong,1586,11.0,1542,8
4150,Asia,中国,China,内蒙古自治区,Neimenggu,198,34.0,121,1
4356,Asia,中国,China,黑龙江省,Heilongjiang,935,384.0,511,13
4390,Asia,中国,China,云南省,Yunnan,185,0.0,181,2
