,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount
14531,Asia,中国,China,香港,Hong Kong,1024,39.0,568,4
14536,Asia,中国,China,中国,China,84186,0.0,77792,4642
14786,Asia,中国,China,台湾,Taiwan,398,340.0,178,6
15110,Asia,中国,China,山东省,Shandong,787,14.0,765,7
15132,Asia,中国,China,四川省,Sichuan,561,13.0,553,3
15153,Asia,中国,China,内蒙古自治区,Neimenggu,193,34.0,104,1
15173,Asia,中国,China,湖北省,Hubei,68128,0.0,63494,4512
15190,Asia,中国,China,湖南省,Hunan,1019,0.0,1015,4
15205,Asia,中国,China,广东省,Guangdong,1579,11.0,1482,8
15227,Asia,中国,China,福建省,Fujian,355,3.0,336,1
15238,Asia,中国,China,澳门,Macau,45,9.0,17,0
15241,Asia,中国,China,黑龙江省,Heilongjiang,892,38.0,472,13
15255,Asia,中国,China,辽宁省,Liaoning,146,0.0,142,2
