,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount
42001,Asia,中国,China,甘肃省,Gansu,138,0.0,127,2
42013,Asia,中国,China,中国,China,82691,0.0,76438,3321
42105,Asia,中国,China,福建省,Fujian,345,3.0,298,1
42115,Asia,中国,China,四川省,Sichuan,552,13.0,537,3
42518,Asia,中国,China,香港,Hong Kong,765,55.0,147,4
42520,Asia,中国,China,台湾,Taiwan,329,0.0,39,5
42522,Asia,中国,China,天津市,Tianjin,176,0.0,135,3
42637,Asia,中国,China,湖北省,Hubei,67802,0.0,63326,3193
42654,Asia,中国,China,内蒙古自治区,Neimenggu,111,0.0,74,1
42676,Asia,中国,China,广东省,Guangdong,1501,10.0,1357,8
43115,Asia,中国,China,陕西省,Shaanxi,255,1.0,242,3
43234,Asia,中国,China,北京市,Beijing,580,164.0,418,8
43270,Asia,中国,China,辽宁省,Liaoning,140,0.0,124,2
43296,Asia,中国,China,河北省,Hebei,323,0.0,310,6
43327,Asia,中国,China,上海市,Shanghai,516,19.0,341,6
43653,Asia,中国,China,山西省,Shanxi,137,4.0,133,0
43666,Asia,中国,China,云南省,Yunnan,182,0.0,172,2
