,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount
152479,Asia,中国,China,北京市,Beijing,80,0.0,2,1
152501,Asia,中国,China,福建省,Fujian,59,0.0,0,0
152517,Asia,中国,China,青海省,Qinghai,6,0.0,0,0
152519,Asia,中国,China,广东省,Guangdong,151,0.0,3,0
152535,Asia,中国,China,天津市,Tianjin,22,0.0,0,0
152560,Asia,中国,China,云南省,Yunnan,26,0.0,0,0
152580,Asia,中国,China,海南省,Hainan,33,0.0,0,1
152587,Asia,中国,China,辽宁省,Liaoning,27,0.0,0,0
152616,Asia,中国,China,山东省,Shandong,75,0.0,1,0
152644,Asia,中国,China,湖北省,Hubei,1423,0.0,47,76
152671,Asia,中国,China,上海市,Shanghai,53,0.0,3,1
152749,Asia,中国,China,台湾,Taiwan,5,0.0,0,0
152811,Asia,中国,China,宁夏回族自治区,Ningxia,7,0.0,0,0
152836,Asia,中国,China,江西省,Jiangxi,48,0.0,1,0
152846,Asia,中国,China,陕西省,Shaanxi,35,0.0,0,0
152898,Asia,中国,China,内蒙古自治区,Neimenggu,11,0.0,0,0
152936,Asia,中国,China,四川省,Sichuan,69,0.0,0,0
152968,Asia,中国,China,新疆维吾尔自治区,Xinjiang,5,0.0,0,0
152970,Asia,中国,China,河北省,Hebei,18,0.0,0,1
153043,Asia,中国,China,重庆市,Chongqing,110,0.0,0,0
153152,Asia,中国,China,甘肃省,Gansu,14,0.0,0,0
153158,Asia,中国,China,吉林省,Jilin,6,0.0,0,0
153162,Asia,中国,China,江苏省,Jiangsu,47,0.0,1,0
153175,Asia,中国,China,黑龙江省,Heilongjiang,21,0.0,0,1
153183,Asia,中国,China,浙江省,Zhejiang,128,0.0,1,0
153205,Asia,中国,China,贵州省,Guizhou,7,0.0,0,0
153251,Asia,中国,China,湖南省,Hunan,100,0.0,0,0
153302,Asia,中国,China,安徽省,Anhui,70,0.0,0,0
153331,Asia,中国,China,河南省,Henan,128,0.0,0,1
153416,Asia,中国,China,广西壮族自治区,Guangxi,46,0.0,0,0
153547,Asia,中国,China,山西省,Shanxi,13,0.0,0,0
153556,Asia,中国,Macao,澳门,Macao,6,0.0,0,0
153623,Asia,中国,Hongkong,香港,Hongkong,8,0.0,0,0
