,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount
884,Asia,中国,China,中国,China,84367,0.0,78710,4643
958,Asia,中国,China,香港,Hong Kong,1037,47.0,811,4
1273,Asia,中国,China,北京市,Beijing,593,164.0,538,9
1463,Asia,中国,China,台湾,Taiwan,429,343.0,307,6
1483,Asia,中国,China,上海市,Shanghai,644,300.0,584,7
1768,Asia,中国,China,陕西省,Shaanxi,306,1.0,253,3
1938,Asia,中国,China,浙江省,Zhejiang,1268,3.0,1261,1
1974,Asia,中国,China,广东省,Guangdong,1587,11.0,1547,8
1996,Asia,中国,China,黑龙江省,Heilongjiang,939,384.0,586,13
2010,Asia,中国,China,内蒙古自治区,Neimenggu,199,34.0,145,1
2022,Asia,中国,China,山西省,Shanxi,197,18.0,160,0
