,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount
51060,Asia,中国,China,澳门,Macau,37,7.0,10,0
51065,Asia,中国,China,中国,China,82282,0.0,75124,3301
51180,Asia,中国,China,辽宁省,Liaoning,132,0.0,124,2
51220,Asia,中国,China,香港,Hong Kong,561,37.0,112,4
51667,Asia,中国,China,天津市,Tianjin,161,25.0,133,3
51754,Asia,中国,China,台湾,Taiwan,283,241.0,30,2
51756,Asia,中国,China,北京市,Beijing,573,157.0,410,8
52234,Asia,中国,China,甘肃省,Gansu,136,0.0,125,2
52246,Asia,中国,China,内蒙古自治区,Neimenggu,94,0.0,74,1
52258,Asia,中国,China,广东省,Guangdong,1467,5.0,1341,8
52279,Asia,中国,China,上海市,Shanghai,485,19.0,334,5
52297,Asia,中国,China,浙江省,Zhejiang,1251,0.0,1225,1
52458,Asia,中国,China,福建省,Fujian,337,0.0,295,1
52468,Asia,中国,China,河南省,Henan,1275,0.0,1251,22
52487,Asia,中国,China,湖北省,Hubei,67801,0.0,62098,3177
52624,Asia,中国,China,吉林省,Jilin,97,1.0,92,1
