,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount
0,North America,美国,United States of America,美国,United States of America,164603,0.0,5896,3170,,,,,,
1,Europe,瑞士,Switzerland,瑞士,Switzerland,16176,0.0,1823,373,,,,,,
2,Europe,葡萄牙,Portugal,葡萄牙,Portugal,7443,0.0,22,160,,,,,,
3,Europe,爱尔兰,Ireland,爱尔兰,Ireland,2910,0.0,0,54,,,,,,
4,North America,墨西哥,Mexico,墨西哥,Mexico,1094,0.0,1,20,,,,,,
5,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,802,0.0,0,15,,,,,,
6,Europe,安道尔,Andorra,安道尔,Andorra,370,0.0,10,8,,,,,,
7,Europe,保加利亚,Bulgaria,保加利亚,Bulgaria,359,0.0,3,8,,,,,,
8,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,329,0.0,1,6,,,,,,
9,South America,乌拉圭,Uruguay,乌拉圭,Uruguay,320,0.0,6,1,,,,,,
10,North America,哥斯达黎加,Costa Rica,哥斯达黎加,Costa Rica,295,0.0,0,2,,,,,,
11,Asia,哈萨克斯坦,Kazakhstan,哈萨克斯坦,Kazakhstan,302,0.0,21,1,,,,,,
12,Asia,阿塞拜疆,Azerbaijan,阿塞拜疆,Azerbaijan,298,0.0,26,5,,,,,,
13,Asia,约旦,Jordan,约旦,Jordan,268,0.0,26,5,,,,,,
14,Asia,科威特,Kuwait,科威特,Kuwait,289,0.0,73,0,,,,,,
15,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,174,0.0,0,4,,,,,,
16,Africa,毛里求斯,Mauritius,毛里求斯,Mauritius,143,0.0,0,3,,,,,,
17,North America,洪都拉斯,Honduras,洪都拉斯,Honduras,139,0.0,0,3,,,,,,
18,North America,马提尼克,Martinique,马提尼克,Martinique,105,0.0,0,2,,,,,,
19,Europe,意大利,Italy,意大利,Italy,105792,0.0,15729,12428,,,,,,
20,North America,加拿大,Canada,加拿大,Canada,7448,0.0,345,80,,,,,,
21,Europe,挪威,Norway,挪威,Norway,4615,0.0,0,38,,,,,,
22,South America,巴西,Brazil,巴西,Brazil,4579,0.0,0,159,,,,,,
23,Oceania,澳大利亚,Australia,澳大利亚,Australia,4557,0.0,119,19,,,,,,
24,Europe,瑞典,Sweden,瑞典,Sweden,4028,0.0,17,146,,,,,,
25,Europe,捷克,Czech Republic,捷克,Czech Republic,2976,0.0,25,23,,,,,,
27,Europe,俄罗斯,Russia,俄罗斯,Russia,2337,0.0,121,17,,,,,,
28,Asia,马来西亚,Malaysia,马来西亚,Malaysia,2766,0.0,537,43,,,,,,
29,Europe,卢森堡,Luxembourg,卢森堡,Luxembourg,2178,0.0,0,23,,,,,,
30,Europe,波兰,Poland,波兰,Poland,2055,0.0,13,31,,,,,,
31,Europe,罗马尼亚,Romania,罗马尼亚,Romania,2245,0.0,220,69,,,,,,
32,Asia,菲律宾,Philippines,菲律宾,Philippines,2084,0.0,49,88,,,,,,
33,South America,厄瓜多尔,Ecuador,厄瓜多尔,Ecuador,1890,0.0,0,57,,,,,,
34,Asia,日本,Japan,日本,Japan,2217,0.0,404,66,,,,,,
35,Europe,希腊,Greece,希腊,Greece,1314,0.0,19,49,,,,,,
36,Asia,印度,India,印度,India,1251,0.0,101,32,,,,,,
37,Africa,摩洛哥,Morocco,摩洛哥,Morocco,574,0.0,15,33,,,,,,
38,Africa,阿尔及利亚,Algeria,阿尔及利亚,Algeria,584,0.0,37,35,,,,,,
39,Asia,伊拉克,Iraq,伊拉克,Iraq,630,0.0,152,46,,,,,,
40,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,463,0.0,35,12,,,,,,
41,Africa,突尼斯,Tunisia,突尼斯,Tunisia,362,0.0,0,10,,,,,,
