,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount
81082,North America,洪都拉斯,Honduras,洪都拉斯,Honduras,2,0.0,0,0,,,,,,
81106,Asia,马来西亚,Malaysia,马来西亚,Malaysia,158,0.0,32,0,,,,,,
81107,Asia,新加坡,Singapore,新加坡,Singapore,187,0.0,82,0,,,,,,
81108,Europe,西班牙,Spain,西班牙,Spain,2968,0.0,189,84,,,,,,
81109,Europe,德国,Germany,德国,Germany,2078,0.0,14,3,,,,,,
81110,Europe,比利时,Belgium,比利时,Belgium,399,0.0,1,3,,,,,,
81111,Others,钻石公主号邮轮,Diamond Princess Cruise Ship,钻石公主号邮轮,Diamond Princess Cruise Ship,697,0.0,427,7,,,,,,
81112,Asia,越南,Vietnam,越南,Vietnam,44,0.0,16,0,,,,,,
81113,Europe,波黑,Bosnia and Herzegovina,波黑,Bosnia and Herzegovina,11,0.0,0,0,,,,,,
81114,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,3,0.0,1,0,,,,,,
81116,Asia,日本,Japan,日本,Japan,657,0.0,102,17,,,,,,
81117,Asia,以色列,Israel,以色列,Israel,100,0.0,2,0,,,,,,
81118,Asia,文莱,Brunei,文莱,Brunei,25,0.0,0,0,,,,,,
81119,Africa,阿尔及利亚,Algeria,阿尔及利亚,Algeria,25,0.0,8,1,,,,,,
81120,Europe,摩纳哥,Monaco,摩纳哥,Monaco,2,0.0,0,0,,,,,,
81142,Asia,菲律宾,Philippines,菲律宾,Philippines,52,0.0,1,2,,,,,,
81145,Asia,韩国,Korea,韩国,Korea,7869,0.0,288,61,,,,,,
81146,Asia,伊朗,Iran,伊朗,Iran,10075,0.0,3276,429,,,,,,
81148,Oceania,澳大利亚,Australia,澳大利亚,Australia,144,0.0,24,3,,,,,,
81149,Asia,印度,India,印度,India,73,0.0,3,0,,,,,,
81150,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,57,0.0,0,0,,,,,,
81151,Europe,罗马尼亚,Romania,罗马尼亚,Romania,49,0.0,3,0,,,,,,
81152,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,45,0.0,0,0,,,,,,
81153,Asia,泰国,Thailand,泰国,Thailand,70,0.0,34,1,,,,,,
81154,Europe,波兰,Poland,波兰,Poland,31,0.0,0,0,,,,,,
81155,South America,智利,Chile,智利,Chile,23,0.0,0,0,,,,,,
81156,North America,哥斯达黎加,Costa Rica,哥斯达黎加,Costa Rica,22,0.0,0,0,,,,,,
81157,Europe,塞尔维亚,Republic of Serbia,塞尔维亚,Republic of Serbia,19,0.0,0,0,,,,,,
81158,Africa,南非,South Africa,南非,South Africa,17,0.0,0,0,,,,,,
81159,Asia,阿塞拜疆,Azerbaijan,阿塞拜疆,Azerbaijan,15,0.0,3,0,,,,,,
81160,North America,墨西哥,Mexico,墨西哥,Mexico,11,0.0,1,0,,,,,,
81161,Asia,柬埔寨,Kampuchea (Cambodia ),柬埔寨,Kampuchea (Cambodia ),5,0.0,1,0,,,,,,
81162,Asia,亚美尼亚,Armenia,亚美尼亚,Armenia,4,0.0,0,0,,,,,,
81163,Africa,摩洛哥,Morocco,摩洛哥,Morocco,6,0.0,0,2,,,,,,
81164,North America,古巴,Cuba,古巴,Cuba,3,0.0,0,0,,,,,,
81165,South America,圭亚那,Guyana,圭亚那,Guyana,1,0.0,0,1,,,,,,
81364,Europe,意大利,Italy,意大利,Italy,12462,0.0,1045,827,,,,,,
81367,Europe,法国,France,法国,France,2281,0.0,12,48,,,,,,
81370,North America,美国,United States of America,美国,United States of America,1004,0.0,10,31,,,,,,
81371,Europe,丹麦,Denmark,丹麦,Denmark,514,0.0,1,0,,,,,,
81373,Europe,荷兰,Netherlands,荷兰,Netherlands,503,0.0,0,5,,,,,,
81374,Europe,瑞典,Sweden,瑞典,Sweden,500,0.0,0,8,,,,,,
81375,Europe,挪威,Norway,挪威,Norway,489,0.0,0,0,,,,,,
81376,Europe,瑞士,Switzerland,瑞士,Switzerland,476,0.0,3,3,,,,,,
81377,Europe,英国,United Kingdom,英国,United Kingdom,460,0.0,8,6,,,,,,
81379,Asia,卡塔尔,Qatar,卡塔尔,Qatar,263,0.0,0,0,,,,,,
81381,Europe,奥地利,Austria,奥地利,Austria,246,0.0,2,0,,,,,,
81382,Asia,巴林,Bahrain,巴林,Bahrain,195,0.0,35,0,,,,,,
81385,North America,加拿大,Canada,加拿大,Canada,107,0.0,4,1,,,,,,
81387,Europe,捷克,Czech Republic,捷克,Czech Republic,91,0.0,0,0,,,,,,
