,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount
36192,North America,美国,United States of America,美国,United States of America,2885,0.0,10,60,,,,,,
36205,Asia,中国,China,中国,China,81062,0.0,67037,3204,,,,,,
36206,Europe,西班牙,Spain,西班牙,Spain,7753,0.0,571,288,,,,,,
36207,Asia,以色列,Israel,以色列,Israel,200,0.0,2,0,,,,,,
36208,Asia,文莱,Brunei,文莱,Brunei,50,0.0,0,0,,,,,,
36209,Asia,阿曼,Oman,阿曼,Oman,21,0.0,9,0,,,,,,
36231,Asia,日本,Japan,日本,Japan,817,0.0,135,24,,,,,,
36232,Asia,菲律宾,Philippines,菲律宾,Philippines,140,0.0,1,11,,,,,,
36233,Europe,爱尔兰,Ireland,爱尔兰,Ireland,129,0.0,0,2,,,,,,
36234,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,99,0.0,1,3,,,,,,
36235,Asia,科威特,Kuwait,科威特,Kuwait,100,0.0,5,0,,,,,,
36236,Asia,阿联酋,United Arab Emirates,阿联酋,United Arab Emirates,86,0.0,23,0,,,,,,
36237,Europe,保加利亚,Bulgaria,保加利亚,Bulgaria,43,0.0,0,2,,,,,,
36238,Europe,比利时,Belgium,比利时,Belgium,886,0.0,1,3,,,,,,
36239,Asia,巴林,Bahrain,巴林,Bahrain,214,0.0,60,0,,,,,,
36241,Europe,克罗地亚,Croatia,克罗地亚,Croatia,46,0.0,0,0,,,,,,
36243,Africa,塞内加尔,Senegal,塞内加尔,Senegal,24,0.0,2,0,,,,,,
36244,Asia,马尔代夫,Maldives,马尔代夫,Maldives,13,0.0,0,0,,,,,,
36245,Asia,约旦,Jordan,约旦,Jordan,7,0.0,1,0,,,,,,
36247,Asia,伊朗,Iran,伊朗,Iran,13938,0.0,4590,724,,,,,,
36248,Asia,韩国,Korea,韩国,Korea,8162,0.0,834,75,,,,,,
36250,Europe,德国,Germany,德国,Germany,4866,0.0,14,9,,,,,,
36251,Europe,法国,France,法国,France,4500,0.0,36,91,,,,,,
36253,Europe,瑞士,Switzerland,瑞士,Switzerland,1189,0.0,3,11,,,,,,
36254,Europe,英国,United Kingdom,英国,United Kingdom,1140,0.0,18,21,,,,,,
36255,Europe,挪威,Norway,挪威,Norway,1046,0.0,0,3,,,,,,
36256,Europe,瑞典,Sweden,瑞典,Sweden,961,0.0,0,8,,,,,,
36257,Europe,荷兰,Netherlands,荷兰,Netherlands,959,0.0,0,12,,,,,,
36258,Europe,丹麦,Denmark,丹麦,Denmark,827,0.0,1,0,,,,,,
36260,Europe,奥地利,Austria,奥地利,Austria,655,0.0,6,1,,,,,,
36262,Asia,马来西亚,Malaysia,马来西亚,Malaysia,428,0.0,32,0,,,,,,
36263,Asia,卡塔尔,Qatar,卡塔尔,Qatar,338,0.0,0,0,,,,,,
36264,Others,钻石公主号邮轮,Diamond Princess Cruise Ship,钻石公主号邮轮,Diamond Princess Cruise Ship,697,0.0,427,7,,,,,,
36265,North America,加拿大,Canada,加拿大,Canada,253,0.0,4,1,,,,,,
36266,Oceania,澳大利亚,Australia,澳大利亚,Australia,272,0.0,24,3,,,,,,
36267,Europe,希腊,Greece,希腊,Greece,228,0.0,0,3,,,,,,
36268,Europe,芬兰,Finland,芬兰,Finland,224,0.0,1,0,,,,,,
36270,Europe,捷克,Czech Republic,捷克,Czech Republic,189,0.0,0,0,,,,,,
36271,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,181,0.0,0,0,,,,,,
36272,Europe,冰岛,Iceland,冰岛,Iceland,156,0.0,0,0,,,,,,
36274,South America,巴西,Brazil,巴西,Brazil,151,0.0,0,0,,,,,,
36277,Asia,印度尼西亚,Indonesia,印度尼西亚,Indonesia,117,0.0,2,2,,,,,,
36278,Europe,葡萄牙,Portugal,葡萄牙,Portugal,112,0.0,0,0,,,,,,
36279,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,109,0.0,0,0,,,,,,
36280,Asia,新加坡,Singapore,新加坡,Singapore,212,0.0,105,0,,,,,,
36281,Asia,印度,India,印度,India,107,0.0,3,2,,,,,,
36282,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,103,0.0,1,0,,,,,,
36283,Europe,波兰,Poland,波兰,Poland,104,0.0,0,3,,,,,,
36285,Europe,罗马尼亚,Romania,罗马尼亚,Romania,101,0.0,3,0,,,,,,
36287,Africa,埃及,Egypt,埃及,Egypt,110,0.0,21,2,,,,,,
36288,Asia,泰国,Thailand,泰国,Thailand,114,0.0,35,1,,,,,,
36289,Asia,伊拉克,Iraq,伊拉克,Iraq,110,0.0,24,9,,,,,,
36290,Europe,圣马力诺,San Marino,圣马力诺,San Marino,73,0.0,2,5,,,,,,
36292,South America,智利,Chile,智利,Chile,61,0.0,0,0,,,,,,
36293,Europe,卢森堡,Luxembourg,卢森堡,Luxembourg,59,0.0,0,1,,,,,,
36294,Europe,俄罗斯,Russia,俄罗斯,Russia,59,0.0,3,0,,,,,,
36295,Africa,南非,South Africa,南非,South Africa,51,0.0,0,0,,,,,,
36296,Europe,塞尔维亚,Republic of Serbia,塞尔维亚,Republic of Serbia,46,0.0,0,0,,,,,,
36297,Europe,斯洛伐克,Slovakia,斯洛伐克,Slovakia,44,0.0,0,0,,,,,,
36298,South America,阿根廷,Argentina,阿根廷,Argentina,45,0.0,1,2,,,,,,
36299,North America,巴拿马,Panama,巴拿马,Panama,43,0.0,0,1,,,,,,
36300,North America,墨西哥,Mexico,墨西哥,Mexico,41,0.0,1,0,,,,,,
36302,Asia,越南,Vietnam,越南,Vietnam,53,0.0,16,0,,,,,,
36304,Europe,阿尔巴尼亚,Albania,阿尔巴尼亚,Albania,38,0.0,0,1,,,,,,
36306,Asia,巴勒斯坦,Palestine,巴勒斯坦,Palestine,35,0.0,0,0,,,,,,
36307,Asia,巴基斯坦,Pakistan,巴基斯坦,Pakistan,34,0.0,1,0,,,,,,
36308,Africa,阿尔及利亚,Algeria,阿尔及利亚,Algeria,45,0.0,10,3,,,,,,
36309,Europe,格鲁吉亚,Georgia,格鲁吉亚,Georgia,30,0.0,0,0,,,,,,
36310,Europe,匈牙利,Hungary,匈牙利,Hungary,30,0.0,1,0,,,,,,
36311,South America,秘鲁,Peru,秘鲁,Peru,28,0.0,0,0,,,,,,
36312,Europe,拉脱维亚,Latvia,拉脱维亚,Latvia,26,0.0,0,0,,,,,,
36313,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,27,0.0,3,0,,,,,,
36314,South America,厄瓜多尔,Ecuador,厄瓜多尔,Ecuador,23,0.0,0,1,,,,,,
36315,North America,哥斯达黎加,Costa Rica,哥斯达黎加,Costa Rica,22,0.0,0,0,,,,,,
36316,South America,哥伦比亚,Colombia,哥伦比亚,Colombia,22,0.0,0,0,,,,,,
36317,Europe,波黑,Bosnia and Herzegovina,波黑,Bosnia and Herzegovina,21,0.0,0,0,,,,,,
36318,Asia,塞浦路斯,Cyprus,塞浦路斯,Cyprus,21,0.0,0,0,,,,,,
36319,Asia,亚美尼亚,Armenia,亚美尼亚,Armenia,20,0.0,0,0,,,,,,
36321,Africa,突尼斯,Tunisia,突尼斯,Tunisia,18,0.0,0,0,,,,,,
36322,Europe,马耳他,Malta,马耳他,Malta,18,0.0,0,0,,,,,,
