,continentEnglishName,countryName,countryEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount
40214,Europe,德国,Germany,196,0.0,14,0
40215,Europe,西班牙,Spain,150,0.0,2,0
40216,Europe,瑞士,Switzerland,46,0.0,2,0
40217,Europe,英国,United Kingdom,51,0.0,8,0
40218,Oceania,澳大利亚,Australia,40,0.0,15,1
40219,Europe,荷兰,Netherlands,24,0.0,0,0
40220,Asia,阿曼,Oman,12,0.0,2,0
40250,Asia,日本,Japan,289,0.0,41,6
40271,Europe,葡萄牙,Portugal,2,0.0,0,0
40272,Asia,约旦,Jordan,1,0.0,0,0
40300,Africa,塞内加尔,Senegal,1,0.0,0,0
40301,Africa,摩洛哥,Morocco,1,0.0,0,0
40302,Asia,新加坡,Singapore,110,0.0,74,0
40303,Europe,捷克,Czech Republic,5,0.0,0,0
40330,Europe,挪威,Norway,32,0.0,0,0
40331,Asia,马来西亚,Malaysia,36,0.0,22,0
40332,Asia,印度,India,6,0.0,3,0
40409,Asia,伊朗,Iran,2336,0.0,435,77
40452,Asia,韩国,Korea,5186,0.0,30,31
40455,Asia,科威特,Kuwait,56,0.0,0,0
40457,Europe,瑞典,Sweden,19,0.0,0,0
40459,Europe,比利时,Belgium,13,0.0,1,0
40461,Asia,黎巴嫩,Lebanon,10,0.0,0,0
40462,Europe,克罗地亚,Croatia,9,0.0,0,0
40463,Europe,冰岛,Iceland,9,0.0,0,0
40464,Asia,卡塔尔,Qatar,7,0.0,0,0
40465,Europe,丹麦,Denmark,6,0.0,0,0
40466,Asia,巴基斯坦,Pakistan,5,0.0,0,0
40467,North America,墨西哥,Mexico,5,0.0,1,0
40469,Europe,乌克兰,Ukraine,1,0.0,0,0
40836,Europe,意大利,Italy,2036,0.0,149,52
40838,Others,钻石公主号邮轮,Diamond Princess Cruise Ship,706,0.0,0,6
40841,North America,美国,United States of America,100,0.0,3,6
40847,Europe,白俄罗斯,Belarus,3,0.0,0,0
40850,Europe,安道尔,Andorra,1,0.0,0,0
40851,Asia,沙特阿拉伯,Saudi Arabia,1,0.0,0,0
41170,Europe,法国,France,130,0.0,12,2
41173,Asia,巴林,Bahrain,47,0.0,0,0
41178,North America,加拿大,Canada,24,0.0,4,0
41179,Asia,伊拉克,Iraq,19,0.0,0,0
41181,Asia,阿联酋,United Arab Emirates,21,0.0,5,0
41182,Europe,奥地利,Austria,14,0.0,0,0
41185,Asia,泰国,Thailand,43,0.0,31,1
41188,Asia,以色列,Israel,10,0.0,1,0
41190,Europe,希腊,Greece,7,0.0,0,0
41191,South America,厄瓜多尔,Ecuador,6,0.0,0,0
41192,Europe,芬兰,Finland,6,0.0,1,0
41197,Europe,罗马尼亚,Romania,3,0.0,0,0
41200,Asia,阿塞拜疆,Azerbaijan,3,0.0,0,0
41202,Asia,格鲁吉亚,Georgia,3,0.0,0,0
41203,South America,巴西,Brazil,2,0.0,0,0
41204,Asia,印度尼西亚,Indonesia,2,0.0,0,0
41205,Asia,菲律宾,Philippines,3,0.0,1,1
41207,Africa,埃及,Egypt,2,0.0,1,0
41208,Asia,阿富汗,Afghanistan,1,0.0,0,0
41209,Africa,阿尔及利亚,Algeria,1,0.0,0,0
41210,Europe,爱沙尼亚,Estonia,1,0.0,0,0
41211,Europe,北马其顿,North Macedonia,1,0.0,0,0
41212,Africa,尼日利亚,Nigeria,1,0.0,0,0
41213,Europe,立陶宛,Lithuania,1,0.0,0,0
41214,Oceania,新西兰,New Zealand,1,0.0,0,0
41216,Europe,摩纳哥,Monaco,1,0.0,0,0
41218,Europe,爱尔兰,Ireland,1,0.0,0,0
41219,Europe,卢森堡,Luxembourg,1,0.0,0,0
41220,Europe,圣马力诺,San Marino,1,0.0,0,0
41221,Asia,亚美尼亚,Armenia,1,0.0,0,0
41222,North America,多米尼加,Dominican Republic,1,0.0,0,0
41225,Asia,越南,Vietnam,16,0.0,16,0
41226,Asia,尼泊尔,Nepal,1,0.0,1,0
41227,Asia,柬埔寨,Kampuchea (Cambodia ),1,0.0,1,0
41228,Asia,斯里兰卡,SriLanka,1,0.0,1,0
41230,Europe,俄罗斯,Russia,2,0.0,2,0
