,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount
145870,Asia,菲律宾,Philippines,菲律宾,Philippines,1,0.0,0,0,,,,,,
145991,Asia,日本,Japan,日本,Japan,20,0.0,1,0,,,,,,
146231,Asia,韩国,Korea,韩国,Korea,12,0.0,0,0,,,,,,
146329,North America,加拿大,Canada,加拿大,Canada,4,0.0,0,0,,,,,,
146766,Asia,越南,Vietnam,越南,Vietnam,6,0.0,1,0,,,,,,
146987,Asia,新加坡,Singapore,新加坡,Singapore,16,0.0,0,0,,,,,,
147464,Europe,法国,France,法国,France,6,0.0,0,0,,,,,,
147465,Europe,瑞典,Sweden,瑞典,Sweden,1,0.0,0,0,,,,,,
147689,Europe,西班牙,Spain,西班牙,Spain,7,0.0,0,0,,,,,,
147690,Europe,德国,Germany,德国,Germany,1,0.0,0,0,,,,,,
147748,Asia,泰国,Thailand,泰国,Thailand,19,0.0,5,0,,,,,,
147752,Oceania,澳大利亚,Australia,澳大利亚,Australia,9,0.0,2,0,,,,,,
147753,Asia,马来西亚,Malaysia,马来西亚,Malaysia,8,0.0,0,0,,,,,,
147754,North America,美国,United States of America,美国,United States of America,6,0.0,0,0,,,,,,
147757,Asia,阿联酋,United Arab Emirates,阿联酋,United Arab Emirates,4,0.0,0,0,,,,,,
147760,Europe,意大利,Italy,意大利,Italy,2,0.0,0,0,,,,,,
147761,Europe,英国,United Kingdom,英国,United Kingdom,2,0.0,0,0,,,,,,
147762,Europe,俄罗斯,Russia,俄罗斯,Russia,2,0.0,0,0,,,,,,
147763,Asia,尼泊尔,Nepal,尼泊尔,Nepal,1,0.0,0,0,,,,,,
147764,Asia,柬埔寨,Kampuchea (Cambodia ),柬埔寨,Kampuchea (Cambodia ),1,0.0,0,0,,,,,,
147765,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,1,0.0,0,0,,,,,,
147766,Europe,芬兰,Finland,芬兰,Finland,1,0.0,0,0,,,,,,
147767,Asia,印度,India,印度,India,1,0.0,0,0,,,,,,
