,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount
47890,Asia,伊朗,Iran,伊朗,Iran,1501,0.0,175,66,,,,,,
47891,Europe,安道尔,Andorra,安道尔,Andorra,1,0.0,0,0,,,,,,
47892,Others,钻石公主号邮轮,Diamond Princess Cruise Ship,钻石公主号邮轮,Diamond Princess Cruise Ship,706,0.0,0,6,,,,,,
47893,Asia,日本,Japan,日本,Japan,274,0.0,41,6,,,,,,
48019,Asia,韩国,Korea,韩国,Korea,4335,0.0,30,22,,,,,,
48021,Europe,德国,Germany,德国,Germany,130,0.0,14,0,,,,,,
48022,Europe,西班牙,Spain,西班牙,Spain,84,0.0,2,0,,,,,,
48023,North America,美国,United States of America,美国,United States of America,77,0.0,3,1,,,,,,
48024,Asia,巴林,Bahrain,巴林,Bahrain,47,0.0,0,0,,,,,,
48025,Asia,新加坡,Singapore,新加坡,Singapore,106,0.0,74,0,,,,,,
48026,Europe,英国,United Kingdom,英国,United Kingdom,36,0.0,8,0,,,,,,
48027,Europe,瑞士,Switzerland,瑞士,Switzerland,27,0.0,0,0,,,,,,
48028,North America,加拿大,Canada,加拿大,Canada,24,0.0,4,0,,,,,,
48029,Asia,伊拉克,Iraq,伊拉克,Iraq,19,0.0,0,0,,,,,,
48030,Europe,挪威,Norway,挪威,Norway,19,0.0,0,0,,,,,,
48031,Europe,奥地利,Austria,奥地利,Austria,14,0.0,0,0,,,,,,
48032,Oceania,澳大利亚,Australia,澳大利亚,Australia,29,0.0,15,1,,,,,,
48033,Asia,泰国,Thailand,泰国,Thailand,43,0.0,31,1,,,,,,
48034,Europe,荷兰,Netherlands,荷兰,Netherlands,10,0.0,0,0,,,,,,
48035,South America,厄瓜多尔,Ecuador,厄瓜多尔,Ecuador,6,0.0,0,0,,,,,,
48036,Europe,芬兰,Finland,芬兰,Finland,6,0.0,1,0,,,,,,
48037,North America,墨西哥,Mexico,墨西哥,Mexico,5,0.0,0,0,,,,,,
48038,Asia,巴基斯坦,Pakistan,巴基斯坦,Pakistan,4,0.0,0,0,,,,,,
48039,Europe,捷克,Czech Republic,捷克,Czech Republic,3,0.0,0,0,,,,,,
48040,Asia,格鲁吉亚,Georgia,格鲁吉亚,Georgia,3,0.0,0,0,,,,,,
48041,Asia,印度尼西亚,Indonesia,印度尼西亚,Indonesia,2,0.0,0,0,,,,,,
48042,Africa,埃及,Egypt,埃及,Egypt,2,0.0,1,0,,,,,,
48043,North America,多米尼加,Dominican Republic,多米尼加,Dominican Republic,1,0.0,0,0,,,,,,
48458,Europe,意大利,Italy,意大利,Italy,1694,0.0,83,34,,,,,,
48461,Europe,法国,France,法国,France,130,0.0,12,2,,,,,,
48466,Asia,科威特,Kuwait,科威特,Kuwait,46,0.0,0,0,,,,,,
48476,Europe,瑞典,Sweden,瑞典,Sweden,13,0.0,0,0,,,,,,
48477,Asia,马来西亚,Malaysia,马来西亚,Malaysia,29,0.0,18,0,,,,,,
48479,Asia,以色列,Israel,以色列,Israel,10,0.0,1,0,,,,,,
48480,Europe,克罗地亚,Croatia,克罗地亚,Croatia,7,0.0,0,0,,,,,,
48481,Europe,希腊,Greece,希腊,Greece,7,0.0,0,0,,,,,,
48487,Asia,阿塞拜疆,Azerbaijan,阿塞拜疆,Azerbaijan,3,0.0,0,0,,,,,,
48489,South America,巴西,Brazil,巴西,Brazil,2,0.0,0,0,,,,,,
48490,Europe,比利时,Belgium,比利时,Belgium,2,0.0,1,0,,,,,,
48492,Asia,卡塔尔,Qatar,卡塔尔,Qatar,1,0.0,0,0,,,,,,
48493,Europe,爱尔兰,Ireland,爱尔兰,Ireland,1,0.0,0,0,,,,,,
48494,Europe,卢森堡,Luxembourg,卢森堡,Luxembourg,1,0.0,0,0,,,,,,
48495,Europe,圣马力诺,San Marino,圣马力诺,San Marino,1,0.0,0,0,,,,,,
48496,Asia,亚美尼亚,Armenia,亚美尼亚,Armenia,1,0.0,0,0,,,,,,
48895,Asia,阿联酋,United Arab Emirates,阿联酋,United Arab Emirates,21,0.0,5,0,,,,,,
48906,Asia,阿曼,Oman,阿曼,Oman,6,0.0,1,0,,,,,,
48908,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,3,0.0,0,0,,,,,,
48910,Europe,罗马尼亚,Romania,罗马尼亚,Romania,3,0.0,0,0,,,,,,
48912,Europe,丹麦,Denmark,丹麦,Denmark,3,0.0,0,0,,,,,,
48916,Asia,菲律宾,Philippines,菲律宾,Philippines,3,0.0,1,1,,,,,,
48918,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,1,0.0,0,0,,,,,,
48919,Africa,阿尔及利亚,Algeria,阿尔及利亚,Algeria,1,0.0,0,0,,,,,,
48920,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,1,0.0,0,0,,,,,,
48921,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,1,0.0,0,0,,,,,,
48922,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,1,0.0,0,0,,,,,,
48923,Europe,立陶宛,Lithuania,立陶宛,Lithuania,1,0.0,0,0,,,,,,
48924,Oceania,新西兰,New Zealand,新西兰,New Zealand,1,0.0,0,0,,,,,,
48925,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,1,0.0,0,0,,,,,,
48926,Europe,冰岛,Iceland,冰岛,Iceland,1,0.0,0,0,,,,,,
48927,Europe,摩纳哥,Monaco,摩纳哥,Monaco,1,0.0,0,0,,,,,,
