,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount
82071,Asia,日本,Japan,日本,Japan,620,0.0,102,14,,,,,,
82105,Europe,西班牙,Spain,西班牙,Spain,2128,0.0,183,47,,,,,,
82148,Asia,伊朗,Iran,伊朗,Iran,9000,0.0,2959,354,,,,,,
82166,Europe,意大利,Italy,意大利,Italy,10283,0.0,1004,631,,,,,,
82167,Asia,韩国,Korea,韩国,Korea,7755,0.0,288,61,,,,,,
82169,Europe,德国,Germany,德国,Germany,1524,0.0,14,2,,,,,,
82171,Europe,英国,United Kingdom,英国,United Kingdom,373,0.0,8,6,,,,,,
82172,Europe,瑞典,Sweden,瑞典,Sweden,355,0.0,0,0,,,,,,
82173,Europe,挪威,Norway,挪威,Norway,277,0.0,0,0,,,,,,
82174,Europe,比利时,Belgium,比利时,Belgium,267,0.0,1,0,,,,,,
82175,Others,钻石公主号邮轮,Diamond Princess Cruise Ship,钻石公主号邮轮,Diamond Princess Cruise Ship,696,0.0,427,7,,,,,,
82176,Europe,丹麦,Denmark,丹麦,Denmark,262,0.0,1,0,,,,,,
82177,Europe,奥地利,Austria,奥地利,Austria,182,0.0,2,0,,,,,,
82178,Oceania,澳大利亚,Australia,澳大利亚,Australia,117,0.0,22,3,,,,,,
82179,North America,加拿大,Canada,加拿大,Canada,93,0.0,4,1,,,,,,
82180,Asia,以色列,Israel,以色列,Israel,75,0.0,2,0,,,,,,
82181,Europe,冰岛,Iceland,冰岛,Iceland,69,0.0,0,0,,,,,,
82182,Europe,捷克,Czech Republic,捷克,Czech Republic,61,0.0,0,0,,,,,,
82183,Europe,圣马力诺,San Marino,圣马力诺,San Marino,62,0.0,0,2,,,,,,
82184,Asia,印度,India,印度,India,61,0.0,3,0,,,,,,
82185,Asia,伊拉克,Iraq,伊拉克,Iraq,71,0.0,9,7,,,,,,
82186,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,52,0.0,1,1,,,,,,
82187,Africa,埃及,Egypt,埃及,Egypt,59,0.0,12,1,,,,,,
82188,South America,巴西,Brazil,巴西,Brazil,34,0.0,0,0,,,,,,
82189,Europe,爱尔兰,Ireland,爱尔兰,Ireland,34,0.0,0,0,,,,,,
82190,Asia,菲律宾,Philippines,菲律宾,Philippines,35,0.0,1,1,,,,,,
82191,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,31,0.0,0,0,,,,,,
82192,Asia,巴勒斯坦,Palestine,巴勒斯坦,Palestine,30,0.0,0,0,,,,,,
82193,Europe,罗马尼亚,Romania,罗马尼亚,Romania,28,0.0,3,0,,,,,,
82194,Asia,泰国,Thailand,泰国,Thailand,59,0.0,34,1,,,,,,
82195,Asia,卡塔尔,Qatar,卡塔尔,Qatar,24,0.0,0,0,,,,,,
82196,Asia,印度尼西亚,Indonesia,印度尼西亚,Indonesia,27,0.0,2,1,,,,,,
82197,Europe,格鲁吉亚,Georgia,格鲁吉亚,Georgia,23,0.0,0,0,,,,,,
82198,Europe,波兰,Poland,波兰,Poland,22,0.0,0,0,,,,,,
82199,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,21,0.0,0,0,,,,,,
82200,Africa,阿尔及利亚,Algeria,阿尔及利亚,Algeria,20,0.0,0,0,,,,,,
82201,Asia,越南,Vietnam,越南,Vietnam,35,0.0,16,0,,,,,,
82202,South America,阿根廷,Argentina,阿根廷,Argentina,19,0.0,0,1,,,,,,
82203,Europe,俄罗斯,Russia,俄罗斯,Russia,20,0.0,3,0,,,,,,
82204,Asia,巴基斯坦,Pakistan,巴基斯坦,Pakistan,18,0.0,1,0,,,,,,
82205,South America,智利,Chile,智利,Chile,17,0.0,0,0,,,,,,
82206,Asia,阿曼,Oman,阿曼,Oman,18,0.0,2,0,,,,,,
82207,Europe,克罗地亚,Croatia,克罗地亚,Croatia,15,0.0,0,0,,,,,,
82208,South America,厄瓜多尔,Ecuador,厄瓜多尔,Ecuador,15,0.0,0,0,,,,,,
82209,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,13,0.0,0,0,,,,,,
82210,North America,哥斯达黎加,Costa Rica,哥斯达黎加,Costa Rica,13,0.0,0,0,,,,,,
82211,Asia,阿塞拜疆,Azerbaijan,阿塞拜疆,Azerbaijan,13,0.0,3,0,,,,,,
82212,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,7,0.0,0,0,,,,,,
82213,Europe,波黑,Bosnia and Herzegovina,波黑,Bosnia and Herzegovina,7,0.0,0,0,,,,,,
82214,Africa,南非,South Africa,南非,South Africa,7,0.0,0,0,,,,,,
82215,North America,巴拿马,Panama,巴拿马,Panama,8,0.0,0,1,,,,,,
82216,Europe,塞尔维亚,Republic of Serbia,塞尔维亚,Republic of Serbia,5,0.0,0,0,,,,,,
82217,Europe,马耳他,Malta,马耳他,Malta,5,0.0,0,0,,,,,,
82218,Europe,立陶宛,Lithuania,立陶宛,Lithuania,3,0.0,0,0,,,,,,
82219,South America,哥伦比亚,Colombia,哥伦比亚,Colombia,3,0.0,0,0,,,,,,
82220,Asia,柬埔寨,Kampuchea (Cambodia ),柬埔寨,Kampuchea (Cambodia ),3,0.0,1,0,,,,,,
82221,South America,巴拉圭,Paraguay,巴拉圭,Paraguay,2,0.0,0,0,,,,,,
82222,South America,玻利维亚,Bolivia,玻利维亚,Bolivia,2,0.0,0,0,,,,,,
82223,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,2,0.0,1,0,,,,,,
82224,Africa,刚果（金）,Democratic Republic of the Congo,刚果（金）,Democratic Republic of the Congo,1,0.0,0,0,,,,,,
82225,North America,牙买加,Jamaica,牙买加,Jamaica,1,0.0,0,0,,,,,,
82460,Europe,法国,France,法国,France,1784,0.0,12,33,,,,,,
82463,North America,美国,United States of America,美国,United States of America,1004,0.0,10,31,,,,,,
82464,Europe,瑞士,Switzerland,瑞士,Switzerland,476,0.0,3,3,,,,,,
82466,Europe,荷兰,Netherlands,荷兰,Netherlands,382,0.0,0,4,,,,,,
82474,Asia,马来西亚,Malaysia,马来西亚,Malaysia,129,0.0,23,0,,,,,,
82475,Asia,巴林,Bahrain,巴林,Bahrain,109,0.0,14,0,,,,,,
82476,Europe,希腊,Greece,希腊,Greece,89,0.0,0,0,,,,,,
82477,Asia,新加坡,Singapore,新加坡,Singapore,166,0.0,82,0,,,,,,
82480,Asia,科威特,Kuwait,科威特,Kuwait,69,0.0,0,0,,,,,,
82481,Asia,阿联酋,United Arab Emirates,阿联酋,United Arab Emirates,74,0.0,7,0,,,,,,
82489,Europe,芬兰,Finland,芬兰,Finland,40,0.0,1,0,,,,,,
82492,Europe,葡萄牙,Portugal,葡萄牙,Portugal,30,0.0,0,0,,,,,,
82514,Europe,匈牙利,Hungary,匈牙利,Hungary,9,0.0,0,0,,,,,,
82516,Europe,拉脱维亚,Latvia,拉脱维亚,Latvia,8,0.0,0,0,,,,,,
82518,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,7,0.0,0,0,,,,,,
82519,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,9,0.0,2,0,,,,,,
82520,Europe,斯洛伐克,Slovakia,斯洛伐克,Slovakia,7,0.0,0,0,,,,,,
82521,North America,墨西哥,Mexico,墨西哥,Mexico,7,0.0,1,0,,,,,,
82522,South America,秘鲁,Peru,秘鲁,Peru,6,0.0,0,0,,,,,,
82523,Asia,马尔代夫,Maldives,马尔代夫,Maldives,6,0.0,0,0,,,,,,
82524,Europe,阿尔巴尼亚,Albania,阿尔巴尼亚,Albania,6,0.0,0,0,,,,,,
82525,Asia,文莱,Brunei,文莱,Brunei,6,0.0,0,0,,,,,,
82527,Oceania,新西兰,New Zealand,新西兰,New Zealand,5,0.0,0,0,,,,,,
82528,Europe,卢森堡,Luxembourg,卢森堡,Luxembourg,5,0.0,0,0,,,,,,
82529,Africa,突尼斯,Tunisia,突尼斯,Tunisia,5,0.0,0,0,,,,,,
82532,Africa,摩洛哥,Morocco,摩洛哥,Morocco,3,0.0,0,0,,,,,,
82533,Asia,孟加拉国,Bangladesh,孟加拉国,Bangladesh,3,0.0,0,0,,,,,,
82534,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,2,0.0,0,0,,,,,,
82535,Africa,喀麦隆,Cameroon,喀麦隆,Cameroon,2,0.0,0,0,,,,,,
82537,Europe,保加利亚,Bulgaria,保加利亚,Bulgaria,2,0.0,0,0,,,,,,
82538,Africa,布基纳法索,Burkina Faso,布基纳法索,Burkina Faso,2,0.0,0,0,,,,,,
82539,Asia,塞浦路斯,Cyprus,塞浦路斯,Cyprus,2,0.0,0,0,,,,,,
82541,Asia,不丹,Kingdom of Bhutan,不丹,Kingdom of Bhutan,1,0.0,0,0,,,,,,
82542,Europe,梵蒂冈,Status Civitatis Vaticanae,梵蒂冈,Status Civitatis Vaticanae,1,0.0,0,0,,,,,,
82544,Africa,多哥,Togo,多哥,Togo,1,0.0,0,0,,,,,,
82547,Europe,摩尔多瓦,Moldova,摩尔多瓦,Moldova,1,0.0,0,0,,,,,,
82548,Asia,蒙古,Mongolia,蒙古,Mongolia,1,0.0,0,0,,,,,,
82550,Asia,土耳其,Turkey,土耳其,Turkey,1,0.0,0,0,,,,,,
83045,Africa,塞内加尔,Senegal,塞内加尔,Senegal,4,0.0,0,0,,,,,,
83056,Europe,乌克兰,Ukraine,乌克兰,Ukraine,1,0.0,0,0,,,,,,
83057,Asia,约旦,Jordan,约旦,Jordan,1,0.0,0,0,,,,,,
83058,Europe,列支敦士登,Liechtenstein,列支敦士登,Liechtenstein,1,0.0,0,0,,,,,,
