,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount
43252,Asia,韩国,Korea,韩国,Korea,7314,0.0,108,50,,,,,,
43253,Asia,伊朗,Iran,伊朗,Iran,6566,0.0,2134,194,,,,,,
43254,Africa,埃及,Egypt,埃及,Egypt,33,0.0,1,0,,,,,,
43310,Europe,德国,Germany,德国,Germany,847,0.0,14,0,,,,,,
43311,Europe,西班牙,Spain,西班牙,Spain,516,0.0,2,10,,,,,,
43312,North America,美国,United States of America,美国,United States of America,445,0.0,10,19,,,,,,
43313,Asia,日本,Japan,日本,Japan,463,0.0,46,7,,,,,,
43314,Europe,瑞士,Switzerland,瑞士,Switzerland,228,0.0,3,1,,,,,,
43315,Europe,英国,United Kingdom,英国,United Kingdom,206,0.0,8,2,,,,,,
43316,Europe,荷兰,Netherlands,荷兰,Netherlands,188,0.0,0,1,,,,,,
43317,Europe,比利时,Belgium,比利时,Belgium,169,0.0,1,0,,,,,,
43318,Europe,瑞典,Sweden,瑞典,Sweden,161,0.0,0,0,,,,,,
43319,Europe,挪威,Norway,挪威,Norway,147,0.0,0,0,,,,,,
43320,Europe,奥地利,Austria,奥地利,Austria,79,0.0,0,0,,,,,,
43321,Asia,巴林,Bahrain,巴林,Bahrain,77,0.0,4,0,,,,,,
43322,Asia,马来西亚,Malaysia,马来西亚,Malaysia,93,0.0,23,0,,,,,,
43323,Europe,希腊,Greece,希腊,Greece,66,0.0,0,0,,,,,,
43324,Asia,新加坡,Singapore,新加坡,Singapore,138,0.0,82,0,,,,,,
43325,North America,加拿大,Canada,加拿大,Canada,60,0.0,4,0,,,,,,
43326,Asia,伊拉克,Iraq,伊拉克,Iraq,54,0.0,0,4,,,,,,
43327,Europe,冰岛,Iceland,冰岛,Iceland,50,0.0,0,0,,,,,,
43328,Oceania,澳大利亚,Australia,澳大利亚,Australia,74,0.0,22,3,,,,,,
43329,Asia,印度,India,印度,India,39,0.0,3,0,,,,,,
43330,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,28,0.0,1,0,,,,,,
43331,Europe,丹麦,Denmark,丹麦,Denmark,27,0.0,1,0,,,,,,
43332,Europe,圣马力诺,San Marino,圣马力诺,San Marino,26,0.0,0,0,,,,,,
43333,Asia,以色列,Israel,以色列,Israel,25,0.0,2,0,,,,,,
43334,Europe,捷克,Czech Republic,捷克,Czech Republic,21,0.0,0,0,,,,,,
43335,Africa,阿尔及利亚,Algeria,阿尔及利亚,Algeria,19,0.0,0,0,,,,,,
43336,South America,巴西,Brazil,巴西,Brazil,19,0.0,0,0,,,,,,
43337,Europe,爱尔兰,Ireland,爱尔兰,Ireland,19,0.0,0,0,,,,,,
43338,Asia,巴勒斯坦,Palestine,巴勒斯坦,Palestine,19,0.0,0,0,,,,,,
43339,Europe,芬兰,Finland,芬兰,Finland,19,0.0,1,0,,,,,,
43340,Europe,葡萄牙,Portugal,葡萄牙,Portugal,15,0.0,0,0,,,,,,
43341,Asia,格鲁吉亚,Georgia,格鲁吉亚,Georgia,13,0.0,0,0,,,,,,
43342,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,12,0.0,0,0,,,,,,
43343,Europe,罗马尼亚,Romania,罗马尼亚,Romania,13,0.0,3,0,,,,,,
43344,South America,阿根廷,Argentina,阿根廷,Argentina,9,0.0,0,1,,,,,,
43345,Europe,俄罗斯,Russia,俄罗斯,Russia,10,0.0,3,0,,,,,,
43346,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,7,0.0,0,0,,,,,,
43347,South America,智利,Chile,智利,Chile,7,0.0,0,0,,,,,,
43348,North America,墨西哥,Mexico,墨西哥,Mexico,7,0.0,1,0,,,,,,
43349,Europe,波兰,Poland,波兰,Poland,6,0.0,0,0,,,,,,
43350,South America,秘鲁,Peru,秘鲁,Peru,6,0.0,0,0,,,,,,
43351,Asia,越南,Vietnam,越南,Vietnam,21,0.0,16,0,,,,,,
43352,Asia,巴基斯坦,Pakistan,巴基斯坦,Pakistan,6,0.0,1,0,,,,,,
43353,Europe,匈牙利,Hungary,匈牙利,Hungary,5,0.0,0,0,,,,,,
43354,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,4,0.0,0,0,,,,,,
43355,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,3,0.0,0,0,,,,,,
43356,Europe,波黑,Bosnia and Herzegovina,波黑,Bosnia and Herzegovina,3,0.0,0,0,,,,,,
43357,Europe,斯洛伐克,Slovakia,斯洛伐克,Slovakia,3,0.0,0,0,,,,,,
