,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount
38021,North America,美国,United States of America,美国,United States of America,245658,0.0,9311,6068,,,,,,
38022,Europe,意大利,Italy,意大利,Italy,115895,0.0,18278,13915,,,,,,
38023,Europe,西班牙,Spain,西班牙,Spain,117710,0.0,30513,10935,,,,,,
38024,Europe,英国,United Kingdom,英国,United Kingdom,38168,0.0,135,3605,,,,,,
38025,Asia,伊朗,Iran,伊朗,Iran,53183,0.0,17935,3294,,,,,,
38026,Europe,瑞士,Switzerland,瑞士,Switzerland,19303,0.0,1823,484,,,,,,
38027,Europe,荷兰,Netherlands,荷兰,Netherlands,14697,0.0,2954,1339,,,,,,
38028,Europe,葡萄牙,Portugal,葡萄牙,Portugal,9886,0.0,22,246,,,,,,
38029,Europe,爱尔兰,Ireland,爱尔兰,Ireland,3849,0.0,0,98,,,,,,
38030,Europe,波兰,Poland,波兰,Poland,2946,0.0,13,57,,,,,,
38031,Asia,菲律宾,Philippines,菲律宾,Philippines,3018,0.0,52,136,,,,,,
38032,Asia,日本,Japan,日本,Japan,3101,0.0,404,77,,,,,,
38033,Europe,卢森堡,Luxembourg,卢森堡,Luxembourg,2487,0.0,0,30,,,,,,
38034,Asia,马来西亚,Malaysia,马来西亚,Malaysia,3333,0.0,827,53,,,,,,
38035,Europe,丹麦,Denmark,丹麦,Denmark,3386,0.0,894,123,,,,,,
38036,Asia,印度,India,印度,India,2547,0.0,163,62,,,,,,
38037,Asia,巴基斯坦,Pakistan,巴基斯坦,Pakistan,2419,0.0,107,34,,,,,,
38038,Europe,罗马尼亚,Romania,罗马尼亚,Romania,2460,0.0,220,85,,,,,,
38039,Asia,印度尼西亚,Indonesia,印度尼西亚,Indonesia,1986,0.0,64,181,,,,,,
38040,Europe,希腊,Greece,希腊,Greece,1613,0.0,19,59,,,,,,
38041,North America,墨西哥,Mexico,墨西哥,Mexico,1510,0.0,1,50,,,,,,
38042,North America,多米尼加,Dominican Republic,多米尼加,Dominican Republic,1284,0.0,0,57,,,,,,
38043,Europe,塞尔维亚,Republic of Serbia,塞尔维亚,Republic of Serbia,1185,0.0,0,31,,,,,,
38044,North America,巴拿马,Panama,巴拿马,Panama,1181,0.0,4,30,,,,,,
38045,Europe,乌克兰,Ukraine,乌克兰,Ukraine,942,0.0,19,23,,,,,,
38046,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,841,0.0,0,15,,,,,,
38047,South America,秘鲁,Peru,秘鲁,Peru,1414,0.0,537,55,,,,,,
38048,Europe,立陶宛,Lithuania,立陶宛,Lithuania,649,0.0,1,9,,,,,,
38049,Africa,埃及,Egypt,埃及,Egypt,865,0.0,201,58,,,,,,
38050,Asia,伊拉克,Iraq,伊拉克,Iraq,772,0.0,202,54,,,,,,
38051,Europe,保加利亚,Bulgaria,保加利亚,Bulgaria,477,0.0,3,12,,,,,,
38052,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,508,0.0,46,17,,,,,,
38053,Europe,斯洛伐克,Slovakia,斯洛伐克,Slovakia,450,0.0,8,1,,,,,,
38054,Europe,安道尔,Andorra,安道尔,Andorra,439,0.0,16,16,,,,,,
38055,Asia,阿塞拜疆,Azerbaijan,阿塞拜疆,Azerbaijan,443,0.0,32,5,,,,,,
38056,Asia,巴林,Bahrain,巴林,Bahrain,672,0.0,372,4,,,,,,
38057,Africa,喀麦隆,Cameroon,喀麦隆,Cameroon,306,0.0,10,8,,,,,,
38058,Africa,加纳,Ghana,加纳,Ghana,204,0.0,3,5,,,,,,
38059,Europe,马耳他,Malta,马耳他,Malta,188,0.0,0,0,,,,,,
38060,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,190,0.0,20,2,,,,,,
38061,Asia,越南,Vietnam,越南,Vietnam,237,0.0,75,0,,,,,,
38062,North America,马提尼克,Martinique,马提尼克,Martinique,128,0.0,0,3,,,,,,
38063,Europe,黑山,,黑山,,120,0.0,0,2,,,,,,
38064,Africa,肯尼亚,Kenya,肯尼亚,Kenya,122,0.0,4,3,,,,,,
38065,Africa,马约特,,马约特,,116,0.0,0,2,,,,,,
